[2025-09-14 19:10:23 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:10:23 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:10:54 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:10:54 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:10:54 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:10:54 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:10:55 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:10:55 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:12:06 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:12:06 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:12:06 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:12:06 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:12:07 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:12:07 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:25:54 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:25:54 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:25:55 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:25:55 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:25:56 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:25:56 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:26:37 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:26:37 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:26:38 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:26:38 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:26:38 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:26:38 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:26:52 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:26:52 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:26:52 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:26:52 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:26:53 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:26:53 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:27:06 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:27:06 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:27:06 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:27:06 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:27:07 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:27:07 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:29:21 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:29:21 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:29:21 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:29:21 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:29:22 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:29:22 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:30:08 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:30:08 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:30:08 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:30:08 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:30:09 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:30:09 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:32:38 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:32:38 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:32:38 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:32:38 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:32:39 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:32:39 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:34:20 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:34:20 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:34:21 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:34:21 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:34:22 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:34:22 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:34:36 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
